scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,N,m,small_cluster.x,small_cluster.y,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_2,Empirical_adj_sandwich_K_2,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,mean_est_rho11,mean_est_rho12,mean_est_rho22,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter
71,50,100,0.4054651081081644,0.02,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,common,-2.0330251341903427,-1.2098394065121356,5000,2500,no,no,0.9932,0.9934,0.9932,0.9924,0.9924,0.9922,0.9922,0.00910404772262564,0.00280240111981839,0.00153824476524802,-0.4034091188398939,0.0070432948881522,0.00703150833105807,10000,10000,0,0,2.3031
72,50,100,0.4054651081081644,0.05,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,common,-2.067549125977829,-1.23159059181798,5000,2500,no,no,0.9618,0.9617,0.9618,0.9593,0.9592,0.9589,0.9588,0.02385864533861945,0.0072259602099893,0.00434372522210334,-0.3955855587953068,0.01024447457316731,0.01022650609571702,10000,10000,0,0,2.4898
73,50,10,0.4054651081081644,0.01,0.00505726896434369,8.008906316459745e-4,-3.543616204591332e-4,0.00505726896434369,0.00506349961186723,even,-0.5159877182027522,0.8759268660862634,500,250,yes,yes,0.5517,0.7136,0.7125,0.5547,0.5517,0.4956,0.493,8.224185003608377e-4,8.017342076756519e-4,-0.00125667186204155,-0.4039362933619965,0.02464241794237017,0.02482281590431494,10000,10000,0,0,4.1352
74,50,10,0.6931471805599453,0.01,0.00505397920454193,8.612122487825177e-4,-4.079670375836984e-4,0.00505397920454193,0.00497354919047873,even,-0.38562618281130107,1.0324612998031433,500,250,yes,yes,0.9061,0.9574,0.9587,0.9055,0.9061,0.8762,0.8761,0.00101336925008054,6.937711920657202e-4,-0.0013522708611205,-0.6938385697280465,0.0252743044827836,0.02549813249342984,10000,10008,8,7.993605115907274e-4,4.183852917665868
75,50,10,0.4054651081081644,0.02,0.01001610066179986,0.0015502302287268,-7.086203321704589e-4,0.01001610066179986,0.00998090183585973,even,-0.5195744631809277,0.8792860728076928,500,250,yes,yes,0.507,0.6738,0.6733,0.5105,0.507,0.4459,0.4437,0.00528787475147348,4.811754867407955e-4,-5.97102722887476e-4,-0.4065534569535175,0.03030259202688121,0.03033991728286936,10000,10003,3,2.9991002699190244e-4,4.3329334133173365
76,50,10,0.6931471805599453,0.02,0.01027570592374058,0.00175214386979049,-7.83532139051996e-4,0.01027570592374058,0.0102137394367527,even,-0.38914353651347233,1.0357550965100768,500,250,yes,yes,0.8575,0.9242,0.9259,0.8535,0.8575,0.8232,0.8217,0.00545918076308836,4.8242836127421125e-4,-5.120346820214248e-4,-0.6895251250550029,0.03115020119606305,0.03107734936657613,10000,10007,7,6.995103427600679e-4,4.464021587047771
77,50,10,0.4054651081081644,0.05,0.0256279546113436,0.00416527680807883,-0.00185415591706065,0.0256279546113436,0.02563312897917953,even,-0.5306746857734366,0.8896821348969451,500,250,yes,yes,0.3925,0.5502,0.5511,0.39,0.3925,0.3351,0.3343,0.0179277507178996,-4.6027249850068915e-4,0.00164133485827051,-0.4035970061314516,0.04702767483860436,0.04662413350008155,10000,10002,2,1.999600079984003e-4,4.706029397060294
78,50,10,0.6931471805599453,0.05,0.02548129671539855,0.00437402549095693,-0.00196731493227517,0.02548129671539855,0.02528233081263875,even,-0.40003354080895753,1.0459529978973945,500,250,yes,yes,0.7232,0.8279,0.8332,0.718,0.7232,0.6677,0.6727,0.01760193282947822,-2.447336130841867e-4,0.00156403021278516,-0.6852154778759332,0.04884935898122672,0.04787201707347576,10000,10017,17,0.00169711490466207,5.480479281078383
79,100,10,0.4054651081081644,0.01,0.00505726896434369,8.008906316459745e-4,-3.543616204591332e-4,0.00505726896434369,0.00506349961186723,even,-0.5159877182027522,0.8759268660862634,1000,500,yes,yes,0.7743,0.8741,0.8742,0.776,0.7743,0.7308,0.7283,0.00235696665102282,3.754732627800671e-4,-4.042066701049077e-4,-0.4069511062399371,0.01456332885626695,0.01451968786989674,10000,10001,1,9.999000099990002e-5,3.953804619538046
80,100,10,0.4054651081081644,0.02,0.01001610066179986,0.0015502302287268,-7.086203321704589e-4,0.01001610066179986,0.00998090183585973,even,-0.5195744631809277,0.8792860728076928,1000,500,yes,yes,0.6913,0.8097,0.8121,0.6922,0.6913,0.6377,0.6394,0.00702241610736422,3.542693241105515e-5,4.875717074360105e-4,-0.4050258903815831,0.01973884912651841,0.01963064828175657,10000,10000,0,0,4.1704
81,100,10,0.4054651081081644,0.05,0.0256279546113436,0.00416527680807883,-0.00185415591706065,0.0256279546113436,0.02563312897917953,even,-0.5306746857734366,0.8896821348969451,1000,500,yes,yes,0.5082,0.6526,0.6562,0.504,0.5082,0.4456,0.4456,0.01962134027739501,-9.777889143511257e-4,0.00264126161390802,-0.402277871994404,0.03547508735162622,0.03483009947221099,10000,10005,5,4.997501249375312e-4,5.190304847576212
82,50,20,0.4054651081081644,0.01,0.00505726896434369,8.008906316459745e-4,-3.543616204591332e-4,0.00505726896434369,0.00506349961186723,even,-0.5159877182027522,0.8759268660862634,1000,500,yes,yes,0.8449,0.8861,0.8866,0.8436,0.8449,0.8281,0.8295,0.00267211085334216,1.6921967135508914e-4,-2.745642342308938e-4,-0.40487364708146806,0.01476534216642912,0.01479703033614411,10000,10000,0,0,3.0565
83,50,20,0.6931471805599453,0.01,0.00505397920454193,8.612122487825177e-4,-4.079670375836984e-4,0.00505397920454193,0.00497354919047873,even,-0.38562618281130107,1.0324612998031433,1000,500,yes,yes,0.9924,0.9948,0.9958,0.9914,0.9924,0.9901,0.9908,0.00273736507913379,1.1107004976402198e-4,-2.1663936178805177e-4,-0.693230693255849,0.01519218532249433,0.01521597531437262,10000,10000,0,0,3.0731
