scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,mean_rank_icc,N,m,small_cluster
111,50,20,0.6931471805599453,0.05,0.02546857076129844,0.0109229307779914,-0.01339738788443477,0.02546857076129844,0.02560825162967206,high01low2,0.13478203235754763,2.6472980195170672,0.06099781960020255,1000,500,yes
112,100,20,0.4054651081081644,0.01,0.00502474510252918,0.00206801475370146,-0.00261370045053815,0.00502474510252918,0.00504726278088214,high01low2,-0.00100046410680799,2.427333855158212,0.01704625125222346,2000,1000,yes
113,100,20,0.4054651081081644,0.02,0.01008923032651422,0.0041820149515966,-0.00526493732032021,0.01008923032651422,0.01019573065276206,high01low2,-0.00201642117527899,2.438489768973289,0.0238223234442448,2000,1000,yes
114,100,20,0.4054651081081644,0.05,0.02522682752430476,0.01062768043584715,-0.01337997878193854,0.02522682752430476,0.02470305722772609,high01low2,-0.00516052008161846,2.473013805577957,0.04203144704769656,2000,1000,yes
115,50,50,0.4054651081081644,0.01,0.00502474510252918,0.00206801475370146,-0.00261370045053815,0.00502474510252918,0.00504726278088214,high01low2,-0.00100046410680799,2.427333855158212,0.01704625125222346,2500,1250,no
116,50,50,0.4054651081081644,0.02,0.01008923032651422,0.0041820149515966,-0.00526493732032021,0.01008923032651422,0.01019573065276206,high01low2,-0.00201642117527899,2.438489768973289,0.0238223234442448,2500,1250,no
117,50,50,0.4054651081081644,0.05,0.02522682752430476,0.01062768043584715,-0.01337997878193854,0.02522682752430476,0.02470305722772609,high01low2,-0.00516052008161846,2.473013805577957,0.04203144704769656,2500,1250,no
118,50,100,0.4054651081081644,0.01,0.00502474510252918,0.00206801475370146,-0.00261370045053815,0.00502474510252918,0.00504726278088214,high01low2,-0.00100046410680799,2.427333855158212,0.01704625125222346,5000,2500,no
119,50,100,0.4054651081081644,0.02,0.01008923032651422,0.0041820149515966,-0.00526493732032021,0.01008923032651422,0.01019573065276206,high01low2,-0.00201642117527899,2.438489768973289,0.0238223234442448,5000,2500,no
120,50,100,0.4054651081081644,0.05,0.02522682752430476,0.01062768043584715,-0.01337997878193854,0.02522682752430476,0.02470305722772609,high01low2,-0.00516052008161846,2.473013805577957,0.04203144704769656,5000,2500,no
121,50,10,0.4054651081081644,0.01,0.00508371704778939,8.826749215227212e-4,-0.00173924843800858,0.00508371704778939,0.0052789133308041,rare,1.608276141789996,2.427333997914866,0.01159767624879359,500,250,yes
122,50,10,0.6931471805599453,0.01,0.00481042870703862,9.232291251322792e-4,-0.00176322126783375,0.00481042870703862,0.00478911770083141,rare,1.7756718281037704,2.60223755094944,0.02354966859122223,500,250,yes
123,50,10,0.4054651081081644,0.02,0.00987392432095258,0.00188097720779652,-0.00366566301972835,0.00987392432095258,0.00967524718107283,rare,1.615304596736779,2.438490148376623,0.01581039795142795,500,250,yes
124,50,10,0.6931471805599453,0.02,0.01018304690860213,0.00186541251377956,-0.00359176304786097,0.01018304690860213,0.01043385994020345,rare,1.782581379230855,2.613240272763193,0.02914346428498794,500,250,yes
125,50,10,0.4054651081081644,0.05,0.02487256836769159,0.00473798723333289,-0.00916287818264555,0.02487256836769159,0.02453248263003491,rare,1.6370556994825434,2.4730142342229033,0.03232473792927812,500,250,yes
126,50,10,0.6931471805599453,0.05,0.02527241617407646,0.00481486153952798,-0.00926440701611223,0.02527241617407646,0.02512976106419199,rare,1.803972065020439,2.6472989537696536,0.04459610508656345,500,250,yes
