scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,mean_rank_icc,N,m,small_cluster
96,50,100,0.4054651081081644,0.05,0.0256279546113436,0.00416527680807883,-0.00185415591706065,0.0256279546113436,0.02563312897917953,even,-0.5306746857734366,0.8896821348969451,0.04324235782539755,5000,2500,no
97,50,10,0.4054651081081644,0.01,0.00502474510252918,0.00206801475370146,-0.00261370045053815,0.00502474510252918,0.00504726278088214,high01low2,-0.00100046410680799,2.427333855158212,0.01704625125222346,500,250,yes
98,50,10,0.6931471805599453,0.01,0.00508582269028084,0.00216101341133332,-0.00267103299716369,0.00508582269028084,0.0051629261466464,high01low2,0.13885882507419414,2.602237132346388,0.03807513131300105,500,250,yes
99,50,10,0.4054651081081644,0.02,0.01008923032651422,0.0041820149515966,-0.00526493732032021,0.01008923032651422,0.01019573065276206,high01low2,-0.00201642117527899,2.438489768973289,0.0238223234442448,500,250,yes
100,50,10,0.6931471805599453,0.02,0.01017268278404626,0.00427656610313363,-0.00528823144606432,0.01017268278404626,0.01046507239500912,high01low2,0.13786344978163112,2.6132393309594564,0.04393184160935452,500,250,yes
101,50,10,0.4054651081081644,0.05,0.02522682752430476,0.01062768043584715,-0.01337997878193854,0.02522682752430476,0.02470305722772609,high01low2,-0.00516052008161846,2.473013805577957,0.04203144704769656,500,250,yes
102,50,10,0.6931471805599453,0.05,0.02546857076129844,0.0109229307779914,-0.01339738788443477,0.02546857076129844,0.02560825162967206,high01low2,0.13478203235754763,2.6472980195170672,0.06099781960020255,500,250,yes
103,100,10,0.4054651081081644,0.01,0.00502474510252918,0.00206801475370146,-0.00261370045053815,0.00502474510252918,0.00504726278088214,high01low2,-0.00100046410680799,2.427333855158212,0.01704625125222346,1000,500,yes
104,100,10,0.4054651081081644,0.02,0.01008923032651422,0.0041820149515966,-0.00526493732032021,0.01008923032651422,0.01019573065276206,high01low2,-0.00201642117527899,2.438489768973289,0.0238223234442448,1000,500,yes
105,100,10,0.4054651081081644,0.05,0.02522682752430476,0.01062768043584715,-0.01337997878193854,0.02522682752430476,0.02470305722772609,high01low2,-0.00516052008161846,2.473013805577957,0.04203144704769656,1000,500,yes
106,50,20,0.4054651081081644,0.01,0.00502474510252918,0.00206801475370146,-0.00261370045053815,0.00502474510252918,0.00504726278088214,high01low2,-0.00100046410680799,2.427333855158212,0.01704625125222346,1000,500,yes
107,50,20,0.6931471805599453,0.01,0.00508582269028084,0.00216101341133332,-0.00267103299716369,0.00508582269028084,0.0051629261466464,high01low2,0.13885882507419414,2.602237132346388,0.03807513131300105,1000,500,yes
108,50,20,0.4054651081081644,0.02,0.01008923032651422,0.0041820149515966,-0.00526493732032021,0.01008923032651422,0.01019573065276206,high01low2,-0.00201642117527899,2.438489768973289,0.0238223234442448,1000,500,yes
109,50,20,0.6931471805599453,0.02,0.01017268278404626,0.00427656610313363,-0.00528823144606432,0.01017268278404626,0.01046507239500912,high01low2,0.13786344978163112,2.6132393309594564,0.04393184160935452,1000,500,yes
110,50,20,0.4054651081081644,0.05,0.02522682752430476,0.01062768043584715,-0.01337997878193854,0.02522682752430476,0.02470305722772609,high01low2,-0.00516052008161846,2.473013805577957,0.04203144704769656,1000,500,yes
